workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
RNN-T,3,rnnt_dec1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,91750.40000000001,293,1.0,2.86300614334471e-05,1.12,84305152.0
RNN-T,3,rnnt_dec1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,81920.0,293,1.0,2.86300614334471e-05,1.0,75497472.0
RNN-T,3,rnnt_dec1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,81920.0,2181,0.13434204493351673,3.846220999541495e-06,1.0,75497472.0
RNN-T,3,rnnt_dec1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,90112.0,2181,0.13434204493351673,3.846220999541495e-06,1.1,82837392.0
RNN-T,3,rnnt_dec1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,99942.4,2181,0.13434204493351673,3.846220999541495e-06,1.22,91645072.0
RNN-T,3,rnnt_dec1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,98304.0,32901,0.00890550439196377,2.549651378377557e-07,1.2,90177312.0
RNN-T,3,rnnt_dec1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,81920.0,32901,0.00890550439196377,2.549651378377557e-07,1.0,75497472.0
RNN-T,3,rnnt_dec1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,93388.79999999999,32901,0.00890550439196377,2.549651378377557e-07,1.14,85773472.0
RNN-T,4,rnnt_dec2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,38666.24,165,1.0,1.271001212121212e-05,1.18,33003728.0
RNN-T,4,rnnt_dec2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,36700.16,165,1.0,1.271001212121212e-05,1.12,31352288.0
RNN-T,4,rnnt_dec2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,32768.0,165,1.0,1.271001212121212e-05,1.0,28049408.0
RNN-T,4,rnnt_dec2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,32768.0,645,0.2558139534883721,3.2513984496124032e-06,1.0,28049408.0
RNN-T,4,rnnt_dec2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,36044.8,645,0.2558139534883721,3.2513984496124032e-06,1.1,30801808.0
RNN-T,4,rnnt_dec2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,39976.96,645,0.2558139534883721,3.2513984496124032e-06,1.22,34104688.0
RNN-T,4,rnnt_dec2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,39321.6,16421,0.010048109128554899,1.2771158881919493e-07,1.2,33554208.0
RNN-T,4,rnnt_dec2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,32768.0,16421,0.010048109128554899,1.2771158881919493e-07,1.0,28049408.0
RNN-T,4,rnnt_dec2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,37355.52,16421,0.010048109128554899,1.2771158881919493e-07,1.14,31902768.0
DLRM,1,dlrm_bot1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,212664.31999999998,549,1.0,3.055959198542805e-05,1.18,220725024.0
DLRM,1,dlrm_bot1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,201850.88,549,1.0,3.055959198542805e-05,1.12,209714864.0
DLRM,1,dlrm_bot1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,180224.0,549,1.0,3.055959198542805e-05,1.0,187695104.0
DLRM,1,dlrm_bot1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,180224.0,8261,0.06645684541823024,2.0308940806197795e-06,1.0,187695104.0
DLRM,1,dlrm_bot1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,198246.40000000002,8261,0.06645684541823024,2.0308940806197795e-06,1.1,206045184.0
DLRM,1,dlrm_bot1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,219873.28,8261,0.06645684541823024,2.0308940806197795e-06,1.22,228064944.0
DLRM,1,dlrm_bot1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,216268.8,33285,0.016493916178458766,5.040473486555505e-07,1.2,224395264.0
DLRM,1,dlrm_bot1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,180224.0,33285,0.016493916178458766,5.040473486555505e-07,1.0,187695104.0
DLRM,1,dlrm_bot1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,205455.36,33285,0.016493916178458766,5.040473486555505e-07,1.14,213385104.0
DLRM,2,dlrm_bot2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,67665.92,293,1.0,1.431503071672355e-05,1.18,66007456.0
DLRM,2,dlrm_bot2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,64225.280000000006,293,1.0,1.431503071672355e-05,1.12,62704576.0
DLRM,2,dlrm_bot2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,57344.0,293,1.0,1.431503071672355e-05,1.0,56098816.0
DLRM,2,dlrm_bot2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,57344.0,2117,0.13840340103920643,1.9812489371752483e-06,1.0,56098816.0
DLRM,2,dlrm_bot2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,63078.40000000001,2117,0.13840340103920643,1.9812489371752483e-06,1.1,61603616.0
DLRM,2,dlrm_bot2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,69959.68,2117,0.13840340103920643,1.9812489371752483e-06,1.22,68209376.0
DLRM,2,dlrm_bot2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,68812.8,16517,0.017739298904159352,2.539386087061815e-07,1.2,67108416.0
